2019-56-24 21:56:12.000 [main] INFO   - Opened Site
2019-56-24 21:56:14.196 [main] INFO   - Entered the signIn page
2019-56-24 21:56:17.327 [main] INFO   - Signed in into account
2019-56-24 21:56:18.040 [main] INFO   - Hovered over women tab
2019-56-24 21:56:20.761 [main] INFO   - Clicked on the "evening dresses"
2019-56-24 21:56:20.945 [main] INFO   - Clicked on the product by its name
2019-56-24 21:56:22.935 [main] INFO   - Clicked on filter
2019-56-24 21:56:23.148 [main] INFO   - Selected size
2019-56-24 21:56:24.541 [main] INFO   - Added to cart and continue shopping
2019-56-24 21:56:24.763 [main] INFO   - Verified parametrs of the added product
2019-56-24 21:56:25.010 [main] INFO   - Removed from cart
2019-56-24 21:56:26.283 [main] INFO   - Verified that cart is empty
